last_score,max_score,epoch
0.37,0.37,0
0.36,0.37,0
0.3,0.37,0
0.29,0.37,0
0.30000000000000004,0.37,0
0.24,0.37,0
0.24999999999999997,0.37,0
0.16999999999999998,0.37,0
0.23000000000000004,0.37,0
0.21000000000000002,0.37,0
0.21000000000000002,0.37,0
0.19,0.37,0
0.19,0.37,0
0.26,0.37,0
0.25,0.37,0
0.21,0.37,0
0.18,0.37,0
0.19,0.37,0
0.19,0.37,0
0.26,0.37,0
0.2,0.37,0
0.24,0.37,0
0.21,0.37,0
0.23,0.37,0
