last_score,max_score,epoch
0.9199999999999999,0.9199999999999999,0
0.8899999999999999,0.9199999999999999,0
0.8099999999999999,0.9199999999999999,0
0.8800000000000001,0.9199999999999999,0
0.78,0.9199999999999999,0
0.9099999999999999,0.9199999999999999,0
0.8200000000000001,0.9199999999999999,0
0.81,0.9199999999999999,0
0.88,0.9199999999999999,0
0.86,0.9199999999999999,0
0.8,0.9199999999999999,0
0.84,0.9199999999999999,0
0.84,0.9199999999999999,0
0.77,0.9199999999999999,0
0.8699999999999999,0.9199999999999999,0
0.75,0.9199999999999999,0
0.8400000000000001,0.9199999999999999,0
0.6699999999999999,0.9199999999999999,0
0.77,0.9199999999999999,0
0.8,0.9199999999999999,0
0.8300000000000001,0.9199999999999999,0
0.78,0.9199999999999999,0
0.5700000000000001,0.9199999999999999,0
0.87,0.9199999999999999,0
