last_score,max_score,
0.7,0.7,0
0.6,0.7,0
0.4666666666666666,0.7,0
0.5666666666666667,0.7,0
0.7,0.7,0
0.7,0.7,0
0.5,0.7,0
0.6333333333333333,0.7,0
0.5666666666666667,0.7,0
0.7,0.7,0
0.6666666666666666,0.7,0
0.7,0.7,0
0.6333333333333333,0.7,0
0.6666666666666666,0.7,14
,,
0.6333333333333333,0.7333333333333333,14
0.6,0.7333333333333334,16
0.6,0.7333333333333334,16
0.6333333333333333,0.7333333333333334,16
0.5666666666666667,0.7333333333333334,16
0.6,0.7333333333333334,16
0.7,0.7333333333333334,16
0.5666666666666667,0.7333333333333334,16
0.7333333333333334,0.7333333333333334,16
